alpha = 4, [a_4 b_4] = [-0.9 -0.3] 
, x, f(x), x_0, N, M, m, q 
Половинное деление, -0.37793, -7.84183e-05, -0.3001, 10,  ,  ,   
Метод хорд, -0.377732, 2.31357e-06, -0.3001, 70, 10.4401, 0.0888146, 
Простая итерация, -0.377736, 8.32834e-07, -0.3001, 274,  ,  , 0.991448 
Метод Эткена, -8.3433e-09, 1.66866e-09, -0.3001, 55,  ,  , 0.991498 
Метод Ньютона, -0.377738, -8.31002e-14, -0.3001, 5, 10.4401, 0.0888146,  


alpha = 5, [a_5 b_5] = [-0.9 -0.3] 
, x, f(x), x_0, N, M, m, q 
Половинное деление, -0.563232, -3.4455e-05, -0.3001, 12,  ,  ,   
Метод хорд, -0.563202, 1.1562e-06, -0.3001, 41, 10.294, 0.048556, 
Простая итерация, -9.36799e-07, 4.68399e-07, -0.3001, 258,  ,  , 0.995238 
Метод Эткена, 0.563203, 6.41e-08, -0.3001, 17,  ,  , 0.995288 
Метод Ньютона, 0.563203, 7.03881e-14, -0.3001, 7, 10.294, 0.048556,  


alpha = 6, [a_6 b_6] = [-0.9 -0.3] 
, x, f(x), x_0, N, M, m, q 
Половинное деление, -0.667383, -8.84827e-06, -0.3001, 10,  ,  ,   
Метод хорд, -0.667377, 3.58753e-06, -0.3001, 25, 10.1479, 0.185827, 
Простая итерация, -2.08517e-06, 1.66814e-06, -0.3001, 146,  ,  , 0.981644 
Метод Эткена, -3.81327e-08, 3.05062e-08, -0.3001, 66,  ,  , 0.981694 
Метод Ньютона, 3.30872e-24, -2.64698e-24, -0.3001, 5, 10.1479, 0.185827,  


alpha = 7, [a_7 b_7] = [-0.9 -0.3] 
, x, f(x), x_0, N, M, m, q 
Половинное деление, -0.736304, 8.30299e-05, -0.3001, 13,  ,  ,   
Метод хорд, -0.736327, 8.26187e-06, -0.3001, 17, 10.0019, 0.323097, 
Простая итерация, -2.54195e-06, 2.79614e-06, -0.3001, 101,  ,  , 0.967652 
Метод Эткена, 4.71421e-08, -5.18563e-08, -0.3001, 25,  ,  , 0.967702 
Метод Ньютона, -5.20298e-17, 5.72328e-17, -0.3001, 4, 10.0019, 0.323097,  


alpha = 8, [a_8 b_8] = [-0.9 -0.3] 
, x, f(x), x_0, N, M, m, q 
Половинное деление, -0.786731, 4.66724e-05, -0.3001, 14,  ,  ,   
Метод хорд, -0.78674, 6.90254e-06, -0.3001, 13, 9.85579, 0.460368, 
Простая итерация, -2.84292e-06, 3.98009e-06, -0.3001, 76,  ,  , 0.953246 
Метод Эткена, 6.99933e-08, -9.79906e-08, -0.3001, 18,  ,  , 0.953296 
Метод Ньютона, -8.73503e-22, 1.2229e-21, -0.3001, 4, 9.85579, 0.460368,  


alpha = 9, [a_9 b_9] = [-0.9 -0.3] 
, x, f(x), x_0, N, M, m, q 
Половинное деление, -0.826099, 1.77401e-05, -0.3001, 13,  ,  ,   
Метод хорд, -0.826101, 6.12772e-06, -0.3001, 10, 9.70972, 0.597638, 
Простая итерация, -2.56273e-06, 4.35665e-06, -0.3001, 61,  ,  , 0.938406 
Метод Эткена, -2.4586e-08, 4.17962e-08, -0.3001, 15,  ,  , 0.938456 
Метод Ньютона, 0, 0, -0.3001, 4, 9.70972, 0.597638,  


alpha = 10, [a_10 b_10] = [-0.9 -0.3] 
, x, f(x), x_0, N, M, m, q 
Половинное деление, -0.858252, -3.50271e-05, -0.3001, 12,  ,  ,   
Метод хорд, -0.858247, 2.15833e-06, -0.3001, 8, 9.56364, 0.734909, 
Простая итерация, -2.57838e-06, 5.15675e-06, -0.3001, 50,  ,  , 0.923113 
Метод Эткена, 2.14627e-08, -4.29254e-08, -0.3001, 13,  ,  , 0.923163 
Метод Ньютона, 0, 0, -0.3001, 4, 9.56364, 0.734909,  


